track_id,artist_name,track_name,duration_ms,acousticness,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,danceability
4AnJZTcx01nxo47QyYbskV,Pearl Street Trio,Dreamsville,261061,0.916,0.0686,0.929,2,0.104,-21.495,0,0.0345,102.41,4,0.0762,0
6fYwCP9RSKhbOkLmGwX41N,Bernstein Square,This Is New,195181,0.976,0.17,0.826,3,0.102,-18.671,1,0.044,122.232,4,0.0943,0
5vFqxBA36r8w1NKDUhpt07,Steve Luke & Holloway,I´ll Never Smile Again,245494,0.945,0.083,0.899,5,0.168,-21.928,0,0.0351,62.513,4,0.0771,0
0ZK55vvr1yrm6HXMoUhugy,Oscar Peterson Trio,Bag's Groove,340333,0.872,0.0366,0.155,0,0.107,-26.04,1,0.0428,102.778,4,0.196,0
0hopRI3X9IUDYDM5jp3U3P,Moonlight Jazz Trio,Apple Crumble,173714,0.964,0.061,0.397,0,0.0986,-23.758,1,0.0398,76.601,4,0.136,0
3Eth4uBxjHksBSkAOf5SX4,Aurelius Markus Trio,Love by the Shore,293837,0.975,0.131,0.849,7,0.171,-16.388,1,0.0363,73.536,4,0.053,0
50QdRhmKuE8C2z1NGkiKxB,Måns & Dotter,Hoppet,155912,0.914,0.144,0.888,0,0.114,-14.734,1,0.0316,90.651,4,0.206,0
4z8F22xJyVwiuflJV0UW5f,Newington Green,Guidance,240818,0.932,0.093,0.864,5,0.0966,-20.552,1,0.0372,127.064,4,0.172,0
5WAnt7GslqsKZOEUZ5SORP,Jaden Berry,You Left With My Heart Still Yours,144855,0.925,0.0576,0.143,11,0.118,-21.441,1,0.0457,183.354,3,0.104,0
2WwFItAZw5RcYv3rECNFIZ,Juraj Stanik Trio,Soul Eyes,283693,0.959,0.117,0.914,5,0.0819,-24.974,0,0.0351,111.292,4,0.115,0
15c6okmVGsMQYb7PkKi5v3,Nouveau Jazz Trio,Georgia On My Mind,192573,0.928,0.173,0.951,9,0.122,-16.946,0,0.041,62.343,4,0.197,0
5jU0M5C3puyWnDvrd27RSP,Coal Diamond Trio,Intangible,302645,0.972,0.116,0.433,7,0.111,-17.882,1,0.0326,81.501,4,0.1,0
6wcsA3k0UzI0aFdwigs79C,Cedar Wright,The End Of A Love Affair,338132,0.965,0.138,0.894,2,0.109,-17.408,0,0.0432,115.064,4,0.159,0
2kuCedGQNreDSHNCmxJLwr,Sarah Troedsson,Time Remembered,184877,0.963,0.181,0.921,7,0.11,-20.645,1,0.0322,107.234,4,0.0536,0
3IzCbEBNJV97OpSdjd6DwQ,Krista Lake Band,Under the same roof,238426,0.972,0.0648,0.757,2,0.11,-22.132,1,0.0362,91.306,4,0.0392,0
55FKJfDFMkBvd04FBXYlYX,The City of Birches,Sleep Paralysis,262977,0.978,0.106,0.296,7,0.209,-14.615,0,0.0425,112.145,4,0.252,0
5gk8Zfd0JaAEfSmxr57xdg,Dusty Diamond Trio,Going Our Separate Ways,248281,0.99,0.131,0.873,10,0.0911,-17.534,0,0.0418,95.725,4,0.0804,0
0zDUzk5CwhgMctfuIP4eez,Coleman Hawkins Quartet,Don't Love Me,279013,0.943,0.116,0.0801,0,0.124,-18.078,1,0.0419,120.071,4,0.142,0
05IRllaVkCLy5Iyz3JUXNC,Bladverk Band,Caerulea,186664,0.962,0.105,0.695,9,0.115,-18.046,0,0.0351,54.727,4,0.0563,0
6GE5NlqY4yH8IRNR9lI713,Hudson Harris & Haim,For All We Know,264479,0.971,0.085,0.821,5,0.106,-20.584,0,0.0355,59.622,4,0.116,0
1b027Iusu7sUPRNk1T7ZKo,Carlton Maison Quartet,Time After Time,216854,0.975,0.14,0.0893,0,0.0993,-13.756,1,0.0385,78.842,4,0.28,0
5ARta7jvD6MRUiSk54jY5r,Bill Evans Trio,My Foolish Heart - Live,298000,0.92,0.13,0.501,9,0.624,-23.293,1,0.0341,115.285,4,0.125,0
1kA2atXO3zrz1L5uEZpVcB,Anita Rosswell,Soft Like Rain,168565,0.907,0.0556,0.658,0,0.106,-19.131,1,0.0422,91.24,4,0.296,0
2loBTwDUEtNRAegOGqppeu,Jasmine Patterson,Isn't It Romantic,251339,0.964,0.114,0.682,8,0.123,-19.338,1,0.0377,64.157,4,0.204,0
5WzFcLc16lrkH1L8ndgm6d,Gabriel Latchin Trio,Poor Butterfly,290746,0.951,0.197,0.902,2,0.187,-17.419,0,0.0382,114.927,4,0.118,0
5iUZ1247JyTUfjSoA4nVQl,Theo Rollins,Moment To Moment,177147,0.965,0.12,0.913,9,0.11,-20.076,0,0.0437,103.572,4,0.142,0
4C4nNem1wGqL8xXrE1Ak1e,Tadd Norman,How Long Has This Been Going On?,297381,0.984,0.091,0.958,7,0.141,-18.498,1,0.036,164.362,3,0.191,0
0P0YUfbBRKa1GSCSWmFd2p,LaSalle Street Trio,Deep In A Dream,282123,0.971,0.0808,0.828,5,0.0978,-21.66,1,0.0357,113.985,4,0.182,0
5EV1wV9ZvK2PsSAwnJSNgb,Sonny Clark,"Gee Baby, Ain't I Good To You",241226,0.842,0.124,0.421,2,0.126,-16.939,1,0.0651,70.309,4,0.221,0
5f2btCjcN87enR8OBijRBz,Southside Trio,The Law of Attraction,151776,0.972,0.0727,0.88,7,0.126,-23.646,1,0.0367,114.931,4,0.193,0
0c6PEeFIX4PQ20yyjwW1SE,Martin Landström,Spring Is in the Air,288877,0.848,0.214,0.865,9,0.274,-18.102,0,0.0379,109.113,4,0.0793,0
74x6ocYFnfjVf5DdtFR7gP,Newington Green,In the Days of our Love,220019,0.974,0.0696,0.907,9,0.111,-20.816,0,0.0419,106.006,4,0.132,0
05KUj61TSptAGUrlMSS4aj,Andy Goodman,Blue Moon,220624,0.966,0.202,0.205,3,0.11,-14.279,1,0.048,71.462,4,0.269,0
116Z8pydjYsREn2LWk7El7,Gillian Spencer Trio,And All Is Well Now,189832,0.853,0.0442,0.864,7,0.101,-18.051,1,0.0348,79.101,4,0.167,0
62xixWZZULL8nW0bUJAi8J,Morgan Coleman Quintet,After Rain,220597,0.961,0.0918,0.0985,0,0.108,-17.58,1,0.0317,88.169,4,0.0815,0
23SM99bJ0j6IejFfLXkUoA,Nordic Swing,Midnight midtown,273616,0.944,0.217,0.304,5,0.104,-12.61,0,0.0345,92.299,4,0.161,0
0ou3UbT1V1FaGU5oz6Q8Bo,Sparrow & Bird,Litania,235174,0.596,0.0282,0.314,8,0.114,-20.689,1,0.0337,94.739,4,0.157,0
6N57mvrlpGr2yl0FfiHnY4,Marcin Wasilewski Trio,Ballad Of The Sad Young Men,329600,0.916,0.0891,0.911,7,0.158,-21.78,1,0.0357,137.995,4,0.0798,0
7wAFHu3ueBLEebC5NEOk9z,Meadow Park,When I Fall In Love,289945,0.937,0.103,0.861,3,0.114,-18.281,1,0.0417,104.45,4,0.135,0
24mDMSSd3K07ilwCA83WzW,Jasmine Patterson,One of your little friends,163634,0.954,0.0688,0.852,10,0.0919,-22.899,1,0.0347,88.458,3,0.166,0
5KjUmRrLUBDEE9v5aCtIiS,Ted Jonson Trio,Carey,125239,0.91,0.0155,0.0328,0,0.139,-24.813,1,0.0371,96.125,4,0.0476,0
4Eq5ResH0UYm5u6EuG2VYk,Meadowpoints,Everything I Love,224504,0.974,0.106,0.897,5,0.0879,-20.976,1,0.0351,111.309,4,0.0785,0
5FCu0Dq8UHHEHmbvA3zsxv,Baker St.,Moving Along,216777,0.943,0.216,0.958,8,0.117,-18.93,1,0.0322,100.908,3,0.1,0
508fsu9SwC0ZaTlr8cWYTL,Bill Charlap Trio,Goodbye Mr. Evans,578200,0.886,0.136,0.362,0,0.196,-20.91,1,0.033,111.159,4,0.106,0
3Lufuxi6y1fGw3bPHhlx66,Bladverk Band,Theme for Ruth,181238,0.961,0.149,0.552,10,0.17,-18.437,1,0.0376,110.037,4,0.134,0
05prboiM4bmlXfvsvghvI1,CMC 3,Once I Had A Secret Love,258185,0.966,0.232,0.952,5,0.107,-17.572,0,0.0336,81.423,3,0.157,0
2ErJ9mgDw6dh8IOT1Ovd0a,Bill Evans Trio,It Might As Well Be Spring,365666,0.926,0.0893,0.716,3,0.11,-19.452,0,0.0333,178.676,3,0.155,0
6GFQLWVOpzCZIsvVk9jWQB,The Bourbon Trio,Hill,390269,0.949,0.0694,0.55,2,0.265,-21.95,1,0.0333,74.17,4,0.106,0
4bXxeSD7lqij49IKogh7VP,KTZ Players,My Reverie,228186,0.86,0.105,0.011,0,0.112,-19.093,1,0.0314,103.316,4,0.0761,0
2Z40l10k74qcQAP88F5KEY,Kevin Waters Group,The Sun Descending,138346,0.982,0.0956,0.296,7,0.135,-16.676,1,0.0315,102.409,4,0.16,0
45uUsc9TX693ldNPmqoa8d,The Headliner Trio,Skylark,189932,0.928,0.211,0.797,5,0.0939,-15.854,1,0.0361,63.051,4,0.206,0
5PExCVG0iW5oiWpzHZjxMq,Geeder,It´s Easy To Remember,212878,0.959,0.186,0.636,5,0.0961,-14.25,0,0.0425,114.887,4,0.376,0
1YEGJGKECYxGoRDE1TLjJC,Streetlight Trio,Lady D,203619,0.951,0.165,0.918,7,0.198,-18.22,1,0.0457,121.175,4,0.143,0
51g4wZxI5yS88Aj0VTCsXM,The Tealeaf Jazz Trio,Galaxy,231032,0.931,0.0277,0.0625,1,0.105,-26.462,1,0.0364,98.966,4,0.145,0
5xdMklU34fYpHch5Dr93wl,The Collective,I´m Getting Sentimental Over You,162572,0.985,0.101,0.872,0,0.156,-17.722,1,0.0452,112.219,4,0.183,0
05TyTjyZ4mouBU8W4hSY5s,Vendla,Infinite Love,251001,0.974,0.112,0.855,4,0.106,-18.368,1,0.0411,124.353,4,0.271,0
2TaXpoVerMqrJxoEh1KjgS,Hara Noda,Night Swimmer,176000,0.942,0.11,0.953,5,0.106,-21.494,1,0.0443,179.593,4,0.233,0
2Vg4a6WfE1C9Ur6OufzNFa,Joey Alexander,Peace,319640,0.921,0.127,0.844,5,0.141,-18.79,0,0.0344,104.416,4,0.164,0
30UZLHtCtfBOQy6TAnivr2,Will Rivers Trio,When We Were Young,214907,0.956,0.0658,0.93,1,0.11,-19.821,1,0.0477,121.096,4,0.11,0
7ijPIncR5k622S2j28ktCr,Dan Evans-Parker,Lost in Orbit,153784,0.552,0.0656,0.54,7,0.115,-21.513,0,0.0325,88.03,4,0.148,0
4kjKUNTgMPWnzAD00cpd91,Ballroom Jazz Collective,My Romance,228108,0.977,0.133,0.0123,0,0.119,-14.689,1,0.036,138.095,4,0.212,0
4LqPbk7Mcm48KciBUa88sM,Enrico Pieranunzi,Love Waiting Endlessly,275968,0.96,0.266,0.899,9,0.0921,-14.097,1,0.033,114.489,3,0.241,0
7iwkqiTANcoolkeTwZygcb,Alex Decante,You Gets You,227428,0.968,0.0791,0.719,3,0.126,-20.865,1,0.037,94.263,4,0.0787,0
6Yvey5k1efTUHNp0nbyszi,Devon Crouch,Inertia,163706,0.934,0.192,0.202,5,0.115,-12.367,0,0.033,93.353,4,0.138,0
3crZQxfAscJX4GLbmiV4F7,Theo Rollins,Pathfinding,190428,0.858,0.217,0.537,2,0.126,-15.625,1,0.0332,126.954,4,0.278,0
1XCBWtTJZuHbwa6GLUutjo,Stan Getz,But Beautiful,280840,0.972,0.0539,0.0287,11,0.0839,-21.882,1,0.0396,72.981,4,0.324,0
38AeuMJBRBWSlbmuC03EhJ,Half Time Feel,Red Sails in the Sunset,267045,0.964,0.0727,0.855,5,0.119,-21.014,1,0.0444,112.619,4,0.285,0
4sZ6tw9dPrHfoiadJMXnqW,Jill & Henry,My One and Only Love,205307,0.982,0.146,0.938,0,0.117,-20.742,1,0.0366,114.488,4,0.109,0
5skJZRiUtObQ6tR130S5O1,LaSalle Street Trio,Everything Happens To Me,161752,0.971,0.0456,0.844,10,0.119,-22.265,1,0.0353,102.737,4,0.202,0
0OB9pzKCaECbHOf9ooimQc,Motor City Trio,Polka Dots and Moonbeams,172642,0.906,0.0757,0.587,2,0.0891,-22.21,0,0.0419,60.539,4,0.256,0
7F7wnKmAmgLzjIjBDGhTRD,John B. Stewart,Turn Out The Stars,211380,0.982,0.125,0.935,7,0.11,-16.003,1,0.0328,100.751,3,0.191,0
6SLB7RAVXvNdvzBFMy1Pyc,Iiro Rantala,Americans in Paris,270386,0.929,0.141,0.536,1,0.18,-17.813,1,0.0313,107.204,4,0.142,0
4XrTlrbPQF6kkrNZ7X1Nyk,Gillian Spencer Trio,Desire,240225,0.903,0.0856,0.647,10,0.143,-20.27,0,0.0346,80.633,4,0.115,0
1UpAyyhV5v9vynm2ymfLeR,The Boston Four,June In January,282638,0.981,0.167,0.888,0,0.112,-15.604,0,0.0431,113.62,4,0.222,0
4k8Z615BSY2DPSARJS11Se,Long Island Quartet,Memories Of You,285694,0.987,0.175,0.665,0,0.104,-14.249,0,0.0445,175.582,3,0.296,0
7jkBFtRrtzVaWxD9akzRsH,Charlie Regan Three,Very Early,226515,0.965,0.132,0.89,7,0.11,-21.502,1,0.0419,85.395,3,0.0665,0
7HX0DryEZ4qOYEzVCF942E,Jazz Tonality,Bandängen,150979,0.913,0.0992,0.381,7,0.0967,-20.324,0,0.0316,113.064,4,0.0388,0
48w1IYrxtNKmm0bBMICOdu,Jenny Jones,I'll Be Seeing You,213107,0.984,0.0897,0.941,5,0.121,-18.904,0,0.0341,105.17,3,0.305,0
1m8uCoir0UBFB6wRxchbDG,Bill Charlap Trio,Make Me Rainbows,424946,0.825,0.126,0.855,11,0.0736,-22.783,0,0.0438,109.071,4,0.248,0
3REyVyWHPHPKQueGFnCYay,Vincent Hall Trio,What The Heart Wants,121068,0.776,0.0344,0.909,8,0.115,-23.218,1,0.0337,89.94,3,0.203,0
6jnHBP28tpxWLf93Wc3xFG,Tribute Trio,Pennies From Heaven,241000,0.925,0.193,0.898,9,0.117,-17.074,0,0.0397,65.127,4,0.263,0
6xBtTWnSfYM47KvLuEn88b,Bill Evans Trio,Stairway To The Stars,293826,0.896,0.197,0.49,5,0.112,-15.347,1,0.0356,116.945,4,0.0892,0
2gGerDB2Wi5BgPTUQiwYUJ,Charles Daisey & Friends,I Cover the Waterfront,148303,0.982,0.1,0.922,7,0.111,-20.82,1,0.047,163.277,3,0.314,0
3WUrXHDowLk25UtALiohVD,Trois Amis,When You Are Around,191547,0.909,0.194,0.852,8,0.132,-16.927,1,0.0412,84.095,4,0.169,0
2spKTHzzPhXETINp5L43JY,Andy Miller Group,If You Say Goodbye,180691,0.971,0.115,0.915,1,0.23,-20.167,1,0.0363,102.907,3,0.0722,0
3OkCg0FmQic1z61kpzMmkI,Amason,Oscillating Love,298147,0.0296,0.718,0.00373,10,0.277,-8.56,1,0.0305,137.975,4,0.93,0
0er8UK22DgdNpzxcqPSr6l,Nadja Evelina,Lovar!,200653,0.0646,0.722,0.000285,1,0.0907,-7.801,1,0.0267,152.058,4,0.762,0
6R46h77T3k4PxeJUsmmvyK,Markus Krunegård,Bonnie Hill Dr.,214253,0.644,0.476,0.000236,5,0.42,-10.142,0,0.0355,77.994,4,0.489,0
5jcq5jDLVBajTY7bYTiiLx,Hannes,I Feel It,216514,0.738,0.433,0.00137,9,0.107,-7.38,1,0.0373,119.937,4,0.465,0
3EPkZ3xV2ZmqkZ04m7GVp2,Linn Koch-Emmery,Dirty Words,193333,0.00174,0.922,0.466,10,0.351,-6.146,1,0.0577,131.963,4,0.762,0
7a9jUuaFJzonyLZMkdNFgb,Dina Ögon,Sol,196000,0.0761,0.662,0.89,0,0.122,-7.746,1,0.0236,98.803,4,0.618,0
0Ot8GnwG2tDkJ8R6dgNfbd,Augustine,Fragrance,185632,0.217,0.402,0.0162,2,0.119,-9.103,1,0.0248,100.006,4,0.173,0
4xMPJOd0L8RbrKVHW1x0t3,Name The Pet,Sun,225311,0.0731,0.485,0.904,9,0.127,-9.343,1,0.0375,100.022,4,0.538,0
6rSrouxL0FBvNUch7rOn54,Folke Nikanor,Djuret,225840,0.766,0.361,0.11,10,0.111,-11.321,1,0.0503,75.007,4,0.252,0
0yhaBHwaFBjlahvysyyMn4,Markus Krunegård,Kemtvätten,228437,0.122,0.929,0.00238,9,0.119,-5.34,1,0.0991,146.018,4,0.641,0
5sbpXkqe8ABQ9SvogzMOiM,Charlie Charlie,Save Us,214136,0.0794,0.538,0.000933,7,0.111,-9.84,0,0.0392,120.928,4,0.895,0
5UfHl6LcGtkUAe7UItl3KH,Bavé,Skies,185173,0.144,0.658,0.111,4,0.101,-8.947,0,0.0338,183.978,4,0.713,0
3DcLwrQeXScpYrZuobzzmw,ViVii,Smackdown,189845,0.0168,0.716,3.64e-05,0,0.08,-7.736,1,0.0366,127.992,4,0.537,0
6idLf0V2J9qjQhrr4iTJXR,LOVE TRULS,Tell Her,255474,0.022,0.435,0.325,4,0.269,-10.374,1,0.0335,114.955,4,0.0396,0
0MWWwPMfS5DkvW6H6NftKa,Smile,Call My Name (feat. Robyn),254503,0.0789,0.683,2.1e-06,0,0.201,-5.4,1,0.0368,130.745,4,0.563,0
26fel0J6lGfbq7HIRQySw7,Baba Stiltz,Normal Guy,186855,0.241,0.639,0.219,9,0.388,-5.863,0,0.0661,180.144,4,0.519,0
7b8IcOvAOdaYJEaLW5dv9C,Augustine,Summer Wine,135176,0.958,0.15,1.89e-05,0,0.127,-13.431,1,0.0367,159.624,4,0.187,0
6vXBnpUslwpDoVeMki4gQk,Sophia Knapp,Desert Moon,186000,0.00574,0.693,0.0336,11,0.12,-6.658,0,0.0307,123.927,4,0.705,0
3yfMnmyvUPamwT4aXCORmk,Lune,Nonono,242526,0.0122,0.55,0.0377,8,0.24,-7.425,1,0.0282,94.995,4,0.312,0
3Lifqo2buqaIuNKZYrKmrB,Nicolai Dunger,Weekend Worker,157718,0.257,0.592,0.00038,9,0.166,-7.403,1,0.0469,186.898,3,0.277,0
0cbBsBCCLSgUYJfqxeW2qJ,Mares,Misstag i Moskva,206306,0.0321,0.659,0.09,7,0.0939,-7.865,1,0.0309,149.398,4,0.765,0
6cZ3vkUyFPIfPzRgPRrX0f,Bavé,Summer House,170000,0.97,0.164,0.168,6,0.104,-15.124,0,0.034,79.457,4,0.0929,0
1qaqzA8ebohmM6PXz0lCmd,eee gee,Favourite Lover,206910,0.193,0.819,7.5e-05,7,0.0836,-2.502,1,0.0856,168.15,4,0.628,0
7n5OkTu4TpNiFHhxLJnpdC,sir Was,I Don’t Think We Should Wait,300506,0.655,0.476,0.0216,0,0.101,-10.176,1,0.0495,127.814,4,0.747,0
1VdbXWUB0Fz5yDW81DIExm,Winhill/Losehill,Have You Been Working,292765,0.914,0.157,0.000121,5,0.0987,-10.641,1,0.0333,65.677,5,0.189,0
5eJuLdADYsM6IyQ4XkRzMB,Baba Stiltz,Rodeo,226143,0.144,0.612,0.759,9,0.108,-7.889,0,0.0486,109.983,4,0.972,0
4esseJdxrcatxtl7Zk8Q5V,Wolf Alice,How Can I Make It OK?,287441,0.0165,0.704,0.0109,0,0.121,-5.259,1,0.0434,117.066,4,0.193,0
2HL0VnhJLtWDZL1UsnLib5,Bleachers,Secret Life (feat. Lana Del Rey),186613,0.829,0.292,4.35e-06,2,0.341,-14.316,1,0.0269,75.065,4,0.501,0
3PeCWDczrGqdD1E3mbok2X,The Killers,Runaway Horses (feat. Phoebe Bridgers) - Abridged,204466,0.912,0.223,0.0,9,0.0962,-15.253,1,0.0338,129.291,5,0.304,0
2LHfTmsBdzIWGE3Cafqpvm,Alba August,Old Love,174509,0.0682,0.794,2.01e-05,2,0.493,-5.526,1,0.052,153.064,4,0.535,0
6CTP41k2hdBnBJ88wXvXyL,Bowski Island,A Place And A Person,223437,0.616,0.551,0.000607,9,0.193,-10.851,0,0.0457,95.781,4,0.129,0
7eGWev6uxZbyJ9AzD4B3A6,Alex Sombo,"Niki, U My Dove",246368,0.00153,0.713,0.0214,10,0.286,-8.747,0,0.0302,117.988,4,0.642,0
1RPB9yRjXPlwPrG9u2ki8P,Åke,Värna om dig själv,166615,0.208,0.532,0.00172,3,0.22,-8.279,1,0.044,130.02,4,0.374,0
4sIGvv9NQzQ9JCpKXRANb3,Kings of Convenience,Catholic Country,181139,0.788,0.408,0.00145,2,0.105,-11.661,0,0.102,93.916,4,0.576,0
0UWXrfsHsy2LUJWEbneShb,Sufjan Stevens,Back To Oz,252052,0.536,0.407,0.00128,8,0.131,-10.46,0,0.0312,169.92,4,0.446,0
7HRKVU4MTD4MIvu2b31CXE,Grapell,Open Up Your Heart,223033,0.0023,0.774,0.0,0,0.0667,-6.048,1,0.0309,112.998,4,0.798,0
1HmdMV6AP2ZA01JdgZFf44,Sam Ezeh,What For?,169796,0.526,0.414,0.261,9,0.329,-9.996,1,0.041,143.889,3,0.254,0
43RksvvJsvqR6aq7i2ktTE,Avantgardet,Bottna,246705,0.17,0.8,0.338,1,0.128,-5.144,0,0.0328,119.971,4,0.777,0
3La5HUF1nBwTVCWjwOpEmz,Kings of Convenience,Fever,236372,0.854,0.466,0.12,9,0.0843,-13.271,0,0.035,90.013,4,0.715,0
1gw95JJ7lMM5MOIpEy68Kf,Shout Out Louds,As Far Away As Possible,276665,0.0819,0.691,0.108,6,0.103,-6.652,0,0.027,135.976,4,0.805,0
5NRBV2zArP88Ob0iUKlOiO,Dead People,Black Hole,204120,0.142,0.895,1.11e-05,6,0.0707,-4.397,0,0.0773,163.931,4,0.847,0
6SZXhkPUMTjKzh1oAbWx78,Ve & Fasa,Under lysande skyltar,235626,0.091,0.518,0.554,5,0.109,-9.674,1,0.0272,86.022,4,0.182,0
5hVKXeJg1R9qGbrGW5eHNl,Sufjan Stevens,Reach Out,223344,0.928,0.315,1.79e-05,0,0.11,-14.286,1,0.0395,82.982,4,0.324,0
4f1SaMLbAHfMq4Ti3TRVZu,Timo Räisänen,Syndabockar och hjältar (Vi ses på lördag),140546,0.0228,0.803,2.44e-06,4,0.112,-5.948,1,0.0539,159.875,4,0.575,0
2ku71f9zbPxkykS1cySXyL,José González,Head On,285386,0.867,0.473,0.751,11,0.105,-12.054,1,0.0297,109.777,4,0.626,0
290VHpm4Xy7hkOPrfiB1a8,foreverandever<3,allt för dig,281776,0.161,0.522,0.22,0,0.144,-9.738,0,0.0613,120.002,4,0.368,0
3SDpBsvxo7R9wcDHULaIJV,Sam Ezeh,Not My Child,187000,0.32,0.816,0.0391,9,0.213,-6.698,0,0.0339,98.017,4,0.658,0
5adcmhUI1lGp3Owmx1Lmcm,Eric Palmqwist,Kom en liten stund,257906,0.299,0.397,0.000385,9,0.255,-8.523,1,0.0338,135.974,4,0.493,0
6oNmSG8JbMa4jG5UQC5Fr2,Sufjan Stevens,It’s Your Own Body And Mind,147229,0.865,0.312,0.932,0,0.123,-12.944,0,0.0324,95.898,4,0.378,0
0KzBGWNhCWXU2PTG0LP5if,Courtney Barnett,Before You Gotta Go,225632,0.153,0.695,0.67,7,0.108,-10.499,1,0.0319,141.95,4,0.262,0
3dVumZf1SZX1OzsNht9reC,Portugal. The Man,Steal My Sunshine (feat. Cherry Glazerr),240002,0.0584,0.846,0.000313,4,0.187,-5.552,1,0.0346,95.015,4,0.454,0
4E4Tg6gIaEwCERFBLwD3u1,Tribe Friday,forward is the way out,157186,0.0038,0.884,0.0201,6,0.229,-3.781,0,0.0527,170.053,4,0.548,0
5MBNg1yzfJcWPxvhktF990,Selma & Gustaf,Rooftop,274260,0.105,0.49,0.00024,6,0.239,-8.455,1,0.0376,140.325,4,0.14,0
1xjNRDT0TRfJdWkkKK5xDA,Band of Horses,Crutch,223053,0.0095,0.872,3.97e-05,2,0.1,-5.375,1,0.0311,145.491,4,0.816,0
7bysvLZZ2LaCRE74ajNIIO,ionnalee,sommaren är min och jag kommer tillbaka,261109,0.189,0.479,0.00281,7,0.136,-7.919,1,0.0308,88.978,4,0.167,0
4MJDSkyBpPbn7TP4elS5fx,Moyka,Illusion,207558,0.179,0.702,0.0249,7,0.182,-7.48,0,0.0466,119.993,4,0.181,0
3ZHTFV3ppi149ZhVewIR2G,Lissie,Watch over Me,107375,0.681,0.337,0.0,0,0.0818,-7.566,1,0.101,173.276,4,0.492,0
2LZoMTBJWl2XR7lJMXA5rk,Riga Tiger,Alltid som du vill,215769,0.0215,0.671,1.64e-05,2,0.0575,-12.018,0,0.033,130.036,4,0.91,0
6pVGigBjIqGgGscGcKGqSi,AURORA,Giving In To The Love,181333,0.095,0.921,0.000885,10,0.144,-5.273,1,0.0658,103.985,4,0.372,0
3YyAH6v6BTNl5AQqfBiyHE,Stilla Havet,Dimman,213933,0.000659,0.635,0.155,11,0.113,-6.545,1,0.0297,87.027,4,0.404,0
1lD48THcebkuZPKIgoxADP,The Vaccines,Headphones Baby,198466,0.00186,0.88,0.0,10,0.16,-3.873,1,0.0959,129.971,4,0.659,0
3jE1H7U8EFjj8wcYPMtKuY,Courtney Barnett,Write A List of Things To Look Forward To,168074,6.92e-05,0.826,0.000628,8,0.0921,-7.038,1,0.0378,151.948,4,0.668,0
2lZrHFgxAdZrL0j8JvYhkc,alt-J,Get Better,351293,0.873,0.116,0.00531,2,0.0639,-19.498,1,0.047,106.086,4,0.466,0
